model,family,feature,importance_mean,importance_count
extratrees_8ch_features,spectral,beta_rel__F3,0.054455441879091224,10
extratrees_8ch_features,spectral,beta_rel__C3,0.05088516846863776,10
extratrees_8ch_features,spectral,beta_rel__C4,0.04979905638804381,10
extratrees_8ch_features,spectral,beta_rel__P4,0.04686575518231546,10
extratrees_8ch_features,spectral,beta_rel__F4,0.045496326996194325,10
extratrees_8ch_features,spectral,beta_rel__P3,0.04169921923774822,10
extratrees_8ch_features,spectral,theta_rel__C4,0.020558186671038696,10
extratrees_8ch_features,spectral,gamma_logabs__P4,0.020337741084304837,9
extratrees_8ch_features,spectral,theta_rel__P3,0.01963790232145133,10
extratrees_8ch_features,spectral,gamma_logabs__P3,0.01806453381301862,7
extratrees_8ch_features,spectral,theta_rel__P4,0.017335678806708332,9
extratrees_8ch_features,spectral,theta_rel__F3,0.016536429264474316,5
extratrees_connectivity,connectivity,coh_alpha__F4__P4,0.045434566879343066,10
extratrees_connectivity,connectivity,coh_alpha__C3__P4,0.0443665335403602,10
extratrees_connectivity,connectivity,coh_alpha__Fp1__F3,0.03669393346153411,10
extratrees_connectivity,connectivity,coh_beta__C4__P4,0.032924534334857786,10
extratrees_connectivity,connectivity,coh_alpha__C4__P3,0.03133533479778291,10
extratrees_connectivity,connectivity,coh_alpha__Fp2__F4,0.030402813998919597,10
extratrees_connectivity,connectivity,coh_alpha__C3__C4,0.03012941809607106,10
extratrees_connectivity,connectivity,coh_alpha__Fp1__Fp2,0.02597419351325584,10
extratrees_connectivity,connectivity,coh_alpha__Fp2__P4,0.025134878572140334,10
extratrees_connectivity,connectivity,coh_alpha__F3__P3,0.02505685183780656,10
extratrees_connectivity,connectivity,coh_alpha__C3__P3,0.022393246268314577,7
extratrees_connectivity,connectivity,coh_beta__C3__P3,0.021611130973031346,4
extratrees_fusion,fusion,beta_rel__F3,0.04575229865911728,10
extratrees_fusion,fusion,beta_rel__C4,0.04562509579409366,10
extratrees_fusion,fusion,beta_rel__C3,0.04489308631573624,10
extratrees_fusion,fusion,beta_rel__P3,0.038231747038724374,10
extratrees_fusion,fusion,beta_rel__P4,0.03722683084777431,10
extratrees_fusion,fusion,beta_rel__F4,0.032488603882857126,10
extratrees_fusion,fusion,theta_rel__P3,0.01826441763421379,10
extratrees_fusion,fusion,gamma_logabs__P4,0.016654561102697273,9
extratrees_fusion,fusion,theta_rel__C4,0.01646988146617214,9
extratrees_fusion,fusion,gamma_logabs__P3,0.016253326596409316,9
extratrees_fusion,fusion,theta_rel__C3,0.016181419538071503,6
extratrees_fusion,fusion,delta_logabs__F3,0.015458782624818257,10
extratrees_spectral,spectral,beta_rel__F3,0.054455441879091224,10
extratrees_spectral,spectral,beta_rel__C3,0.05088516846863776,10
extratrees_spectral,spectral,beta_rel__C4,0.04979905638804381,10
extratrees_spectral,spectral,beta_rel__P4,0.04686575518231546,10
extratrees_spectral,spectral,beta_rel__F4,0.045496326996194325,10
extratrees_spectral,spectral,beta_rel__P3,0.04169921923774822,10
extratrees_spectral,spectral,theta_rel__C4,0.020558186671038696,10
extratrees_spectral,spectral,gamma_logabs__P4,0.020337741084304837,9
extratrees_spectral,spectral,theta_rel__P3,0.01963790232145133,10
extratrees_spectral,spectral,gamma_logabs__P3,0.01806453381301862,7
extratrees_spectral,spectral,theta_rel__P4,0.017335678806708332,9
extratrees_spectral,spectral,theta_rel__F3,0.016536429264474316,5
